"year","age_band","fertility_rate","uom","marital_status","labour_status","count"
2006,"All",1.28,"per female","single","labour_force",234.3
2006,"All",1.28,"per female","single","outside_labour_force",145.5
2006,"All",1.28,"per female","widowed_divorced","labour_force",31.7
2006,"All",1.28,"per female","widowed_divorced","outside_labour_force",3.5
2004,"All",1.26,"per female","married","labour_force",351.7
2004,"All",1.26,"per female","married","outside_labour_force",209.4
2004,"All",1.26,"per female","single","labour_force",212
2004,"All",1.26,"per female","single","outside_labour_force",144.8
2004,"All",1.26,"per female","widowed_divorced","labour_force",28.7
2004,"All",1.26,"per female","widowed_divorced","outside_labour_force",5.5
2003,"All",1.27,"per female","married","labour_force",344.1
2003,"All",1.27,"per female","married","outside_labour_force",219.9
2003,"All",1.27,"per female","single","labour_force",212.7
2003,"All",1.27,"per female","single","outside_labour_force",136.3
2003,"All",1.27,"per female","widowed_divorced","labour_force",26.4
2003,"All",1.27,"per female","widowed_divorced","outside_labour_force",4.3
2002,"All",1.37,"per female","married","labour_force",336.2
2002,"All",1.37,"per female","married","outside_labour_force",229.4
2002,"All",1.37,"per female","single","labour_force",204.6
2002,"All",1.37,"per female","single","outside_labour_force",134.3
2002,"All",1.37,"per female","widowed_divorced","labour_force",25.8
2002,"All",1.37,"per female","widowed_divorced","outside_labour_force",4.9
2001,"All",1.41,"per female","married","labour_force",339.7
2001,"All",1.41,"per female","married","outside_labour_force",225.3
2001,"All",1.41,"per female","single","labour_force",205.2
2001,"All",1.41,"per female","single","outside_labour_force",125.8
2001,"All",1.41,"per female","widowed_divorced","labour_force",27.3
2001,"All",1.41,"per female","widowed_divorced","outside_labour_force",4.7
1999,"All",1.47,"per female","married","labour_force",326.2
1999,"All",1.47,"per female","married","outside_labour_force",232.8
1999,"All",1.47,"per female","single","labour_force",206.4
1999,"All",1.47,"per female","single","outside_labour_force",121.7
1999,"All",1.47,"per female","widowed_divorced","labour_force",24.2
1999,"All",1.47,"per female","widowed_divorced","outside_labour_force",4.6
1998,"All",1.48,"per female","married","labour_force",317
1998,"All",1.48,"per female","married","outside_labour_force",240.2
1998,"All",1.48,"per female","single","labour_force",203.1
1998,"All",1.48,"per female","single","outside_labour_force",129.3
1998,"All",1.48,"per female","widowed_divorced","labour_force",21.7
1998,"All",1.48,"per female","widowed_divorced","outside_labour_force",4.3
1997,"All",1.61,"per female","married","labour_force",305.9
1997,"All",1.61,"per female","married","outside_labour_force",244.6
1997,"All",1.61,"per female","single","labour_force",207.9
1997,"All",1.61,"per female","single","outside_labour_force",120
1997,"All",1.61,"per female","widowed_divorced","labour_force",22.4
1997,"All",1.61,"per female","widowed_divorced","outside_labour_force",4.9
1996,"All",1.66,"per female","married","labour_force",303.5
1996,"All",1.66,"per female","married","outside_labour_force",242.7
1996,"All",1.66,"per female","single","labour_force",207.7
1996,"All",1.66,"per female","single","outside_labour_force",119
1996,"All",1.66,"per female","widowed_divorced","labour_force",23.5
1996,"All",1.66,"per female","widowed_divorced","outside_labour_force",5.3
1994,"All",1.71,"per female","married","labour_force",268.2
1994,"All",1.71,"per female","married","outside_labour_force",244.4
1994,"All",1.71,"per female","single","labour_force",213.3
1994,"All",1.71,"per female","single","outside_labour_force",112.4
1994,"All",1.71,"per female","widowed_divorced","labour_force",21.4
1994,"All",1.71,"per female","widowed_divorced","outside_labour_force",4.6
1993,"All",1.74,"per female","married","labour_force",252.8
1993,"All",1.74,"per female","married","outside_labour_force",238.5
1993,"All",1.74,"per female","single","labour_force",216
1993,"All",1.74,"per female","single","outside_labour_force",115.7
1993,"All",1.74,"per female","widowed_divorced","labour_force",20.4
1993,"All",1.74,"per female","widowed_divorced","outside_labour_force",6
1992,"All",1.72,"per female","married","labour_force",248.3
1992,"All",1.72,"per female","married","outside_labour_force",233.1
1992,"All",1.72,"per female","single","labour_force",220.5
1992,"All",1.72,"per female","single","outside_labour_force",112.6
1992,"All",1.72,"per female","widowed_divorced","labour_force",20.4
1992,"All",1.72,"per female","widowed_divorced","outside_labour_force",6
1991,"All",1.73,"per female","married","labour_force",236.3
1991,"All",1.73,"per female","married","outside_labour_force",234.4
1991,"All",1.73,"per female","single","labour_force",217.8
1991,"All",1.73,"per female","single","outside_labour_force",107.7
1991,"All",1.73,"per female","widowed_divorced","labour_force",19.5
1991,"All",1.73,"per female","widowed_divorced","outside_labour_force",5.1
2020,"15-19",2.3,"per thousand females","single","labour_force",11.1
2020,"15-19",2.3,"per thousand females","single","outside_labour_force",93.2
2020,"15-19",2.3,"per thousand females","married","labour_force",0
2020,"15-19",2.3,"per thousand females","married","outside_labour_force",0
2020,"15-19",2.3,"per thousand females","widowed_divorced","labour_force",0
2020,"15-19",2.3,"per thousand females","widowed_divorced","outside_labour_force",0
2019,"15-19",2.5,"per thousand females","single","labour_force",14.1
2019,"15-19",2.5,"per thousand females","single","outside_labour_force",99.5
2019,"15-19",2.5,"per thousand females","married","labour_force",0
2019,"15-19",2.5,"per thousand females","married","outside_labour_force",0.1
2019,"15-19",2.5,"per thousand females","widowed_divorced","labour_force",0
2019,"15-19",2.5,"per thousand females","widowed_divorced","outside_labour_force",0
2018,"15-19",2.5,"per thousand females","single","labour_force",13.6
2018,"15-19",2.5,"per thousand females","single","outside_labour_force",105.1
2018,"15-19",2.5,"per thousand females","married","labour_force",0.2
2018,"15-19",2.5,"per thousand females","married","outside_labour_force",0.1
2018,"15-19",2.5,"per thousand females","widowed_divorced","labour_force",0
2018,"15-19",2.5,"per thousand females","widowed_divorced","outside_labour_force",0
2017,"15-19",2.6,"per thousand females","single","labour_force",12.1
2017,"15-19",2.6,"per thousand females","single","outside_labour_force",106
2017,"15-19",2.6,"per thousand females","married","labour_force",0
2017,"15-19",2.6,"per thousand females","married","outside_labour_force",0.1
2017,"15-19",2.6,"per thousand females","widowed_divorced","labour_force",0
2017,"15-19",2.6,"per thousand females","widowed_divorced","outside_labour_force",0
2016,"15-19",2.7,"per thousand females","single","labour_force",14.9
2016,"15-19",2.7,"per thousand females","single","outside_labour_force",105.6
2016,"15-19",2.7,"per thousand females","married","labour_force",0.1
2016,"15-19",2.7,"per thousand females","married","outside_labour_force",0.2
2016,"15-19",2.7,"per thousand females","widowed_divorced","labour_force",0
2016,"15-19",2.7,"per thousand females","widowed_divorced","outside_labour_force",0
2015,"15-19",2.7,"per thousand females","single","labour_force",15.9
2015,"15-19",2.7,"per thousand females","single","outside_labour_force",106
2015,"15-19",2.7,"per thousand females","married","labour_force",0.1
2015,"15-19",2.7,"per thousand females","married","outside_labour_force",0.1
2015,"15-19",2.7,"per thousand females","widowed_divorced","labour_force",0
2015,"15-19",2.7,"per thousand females","widowed_divorced","outside_labour_force",0
2014,"15-19",3.3,"per thousand females","single","labour_force",11.5
2014,"15-19",3.3,"per thousand females","single","outside_labour_force",108.7
2014,"15-19",3.3,"per thousand females","married","labour_force",0
2014,"15-19",3.3,"per thousand females","married","outside_labour_force",0.2
2014,"15-19",3.3,"per thousand females","widowed_divorced","labour_force",0
2014,"15-19",3.3,"per thousand females","widowed_divorced","outside_labour_force",0
2013,"15-19",3.8,"per thousand females","single","labour_force",12.9
2013,"15-19",3.8,"per thousand females","single","outside_labour_force",114
2013,"15-19",3.8,"per thousand females","married","labour_force",0
2013,"15-19",3.8,"per thousand females","married","outside_labour_force",0.2
2013,"15-19",3.8,"per thousand females","widowed_divorced","labour_force",0
2013,"15-19",3.8,"per thousand females","widowed_divorced","outside_labour_force",0
2012,"15-19",4.3,"per thousand females","single","labour_force",14.4
2012,"15-19",4.3,"per thousand females","single","outside_labour_force",118.1
2012,"15-19",4.3,"per thousand females","married","labour_force",0.1
2012,"15-19",4.3,"per thousand females","married","outside_labour_force",0.2
2012,"15-19",4.3,"per thousand females","widowed_divorced","labour_force",0
2012,"15-19",4.3,"per thousand females","widowed_divorced","outside_labour_force",0
2011,"15-19",4.7,"per thousand females","single","labour_force",12.8
2011,"15-19",4.7,"per thousand females","single","outside_labour_force",118.5
2011,"15-19",4.7,"per thousand females","married","labour_force",0.1
2011,"15-19",4.7,"per thousand females","married","outside_labour_force",0.1
2011,"15-19",4.7,"per thousand females","widowed_divorced","labour_force",0
2011,"15-19",4.7,"per thousand females","widowed_divorced","outside_labour_force",0
2010,"15-19",4.8,"per thousand females","single","labour_force",17
2010,"15-19",4.8,"per thousand females","single","outside_labour_force",112.8
2010,"15-19",4.8,"per thousand females","married","labour_force",0.1
2010,"15-19",4.8,"per thousand females","married","outside_labour_force",0.2
2010,"15-19",4.8,"per thousand females","widowed_divorced","labour_force",0
2010,"15-19",4.8,"per thousand females","widowed_divorced","outside_labour_force",0
2009,"15-19",5,"per thousand females","single","labour_force",13.6
2009,"15-19",5,"per thousand females","single","outside_labour_force",118.2
2009,"15-19",5,"per thousand females","married","labour_force",0.2
2009,"15-19",5,"per thousand females","married","outside_labour_force",0.2
2009,"15-19",5,"per thousand females","widowed_divorced","labour_force",0
2009,"15-19",5,"per thousand females","widowed_divorced","outside_labour_force",0
2008,"15-19",6.1,"per thousand females","single","labour_force",14.7
2008,"15-19",6.1,"per thousand females","single","outside_labour_force",112.9
2008,"15-19",6.1,"per thousand females","married","labour_force",0.1
2008,"15-19",6.1,"per thousand females","married","outside_labour_force",0.4
2008,"15-19",6.1,"per thousand females","widowed_divorced","labour_force",0
2008,"15-19",6.1,"per thousand females","widowed_divorced","outside_labour_force",0
2007,"15-19",6.1,"per thousand females","single","labour_force",14.9
2007,"15-19",6.1,"per thousand females","single","outside_labour_force",112.2
2007,"15-19",6.1,"per thousand females","married","labour_force",0.1
2007,"15-19",6.1,"per thousand females","married","outside_labour_force",0.3
2007,"15-19",6.1,"per thousand females","widowed_divorced","labour_force",0
2007,"15-19",6.1,"per thousand females","widowed_divorced","outside_labour_force",0
2006,"15-19",6.6,"per thousand females","single","labour_force",14.7
2006,"15-19",6.6,"per thousand females","single","outside_labour_force",107.2
2006,"15-19",6.6,"per thousand females","married","labour_force",0.2
2006,"15-19",6.6,"per thousand females","married","outside_labour_force",0.1
2006,"15-19",6.6,"per thousand females","widowed_divorced","labour_force",0
2006,"15-19",6.6,"per thousand females","widowed_divorced","outside_labour_force",0
2004,"15-19",6.6,"per thousand females","single","labour_force",13.4
2004,"15-19",6.6,"per thousand females","single","outside_labour_force",100.8
2004,"15-19",6.6,"per thousand females","married","labour_force",0.1
2004,"15-19",6.6,"per thousand females","married","outside_labour_force",0.2
2004,"15-19",6.6,"per thousand females","widowed_divorced","labour_force",0
2004,"15-19",6.6,"per thousand females","widowed_divorced","outside_labour_force",0
2003,"15-19",6.7,"per thousand females","single","labour_force",10.7
2003,"15-19",6.7,"per thousand females","single","outside_labour_force",94.8
2003,"15-19",6.7,"per thousand females","married","labour_force",0.1
2003,"15-19",6.7,"per thousand females","married","outside_labour_force",0.4
2003,"15-19",6.7,"per thousand females","widowed_divorced","labour_force",0
2003,"15-19",6.7,"per thousand females","widowed_divorced","outside_labour_force",0
2002,"15-19",8,"per thousand females","single","labour_force",10.9
2002,"15-19",8,"per thousand females","single","outside_labour_force",90.9
2002,"15-19",8,"per thousand females","married","labour_force",0.2
2002,"15-19",8,"per thousand females","married","outside_labour_force",0.3
2002,"15-19",8,"per thousand females","widowed_divorced","labour_force",0
2002,"15-19",8,"per thousand females","widowed_divorced","outside_labour_force",0
2001,"15-19",8.4,"per thousand females","single","labour_force",14.4
2001,"15-19",8.4,"per thousand females","single","outside_labour_force",88.3
2001,"15-19",8.4,"per thousand females","married","labour_force",0.4
2001,"15-19",8.4,"per thousand females","married","outside_labour_force",0.7
2001,"15-19",8.4,"per thousand females","widowed_divorced","labour_force",0
2001,"15-19",8.4,"per thousand females","widowed_divorced","outside_labour_force",0
1999,"15-19",8.4,"per thousand females","single","labour_force",14.6
1999,"15-19",8.4,"per thousand females","single","outside_labour_force",85.6
1999,"15-19",8.4,"per thousand females","married","labour_force",0.3
1999,"15-19",8.4,"per thousand females","married","outside_labour_force",0.2
1999,"15-19",8.4,"per thousand females","widowed_divorced","labour_force",0
1999,"15-19",8.4,"per thousand females","widowed_divorced","outside_labour_force",0
1998,"15-19",7.5,"per thousand females","single","labour_force",11.1
1998,"15-19",7.5,"per thousand females","single","outside_labour_force",90.4
1998,"15-19",7.5,"per thousand females","married","labour_force",0.4
1998,"15-19",7.5,"per thousand females","married","outside_labour_force",0.6
1998,"15-19",7.5,"per thousand females","widowed_divorced","labour_force",0
1998,"15-19",7.5,"per thousand females","widowed_divorced","outside_labour_force",0
1997,"15-19",6.8,"per thousand females","single","labour_force",13.9
1997,"15-19",6.8,"per thousand females","single","outside_labour_force",84.6
1997,"15-19",6.8,"per thousand females","married","labour_force",0.4
1997,"15-19",6.8,"per thousand females","married","outside_labour_force",1
1997,"15-19",6.8,"per thousand females","widowed_divorced","labour_force",0
1997,"15-19",6.8,"per thousand females","widowed_divorced","outside_labour_force",0
1996,"15-19",6.8,"per thousand females","single","labour_force",15.9
1996,"15-19",6.8,"per thousand females","single","outside_labour_force",86.4
1996,"15-19",6.8,"per thousand females","married","labour_force",0.5
1996,"15-19",6.8,"per thousand females","married","outside_labour_force",0.7
1996,"15-19",6.8,"per thousand females","widowed_divorced","labour_force",0
1996,"15-19",6.8,"per thousand females","widowed_divorced","outside_labour_force",0
1994,"15-19",7.4,"per thousand females","single","labour_force",20.4
1994,"15-19",7.4,"per thousand females","single","outside_labour_force",80.1
1994,"15-19",7.4,"per thousand females","married","labour_force",0.4
1994,"15-19",7.4,"per thousand females","married","outside_labour_force",0.4
1994,"15-19",7.4,"per thousand females","widowed_divorced","labour_force",0
1994,"15-19",7.4,"per thousand females","widowed_divorced","outside_labour_force",0
1993,"15-19",8.3,"per thousand females","single","labour_force",25.1
1993,"15-19",8.3,"per thousand females","single","outside_labour_force",82.9
1993,"15-19",8.3,"per thousand females","married","labour_force",0.5
1993,"15-19",8.3,"per thousand females","married","outside_labour_force",0.9
1993,"15-19",8.3,"per thousand females","widowed_divorced","labour_force",0.1
1993,"15-19",8.3,"per thousand females","widowed_divorced","outside_labour_force",0
1992,"15-19",7.9,"per thousand females","single","labour_force",27.4
1992,"15-19",7.9,"per thousand females","single","outside_labour_force",81.4
1992,"15-19",7.9,"per thousand females","married","labour_force",0.4
1992,"15-19",7.9,"per thousand females","married","outside_labour_force",0.8
1992,"15-19",7.9,"per thousand females","widowed_divorced","labour_force",0.1
1992,"15-19",7.9,"per thousand females","widowed_divorced","outside_labour_force",0
1991,"15-19",8.4,"per thousand females","single","labour_force",29.4
1991,"15-19",8.4,"per thousand females","single","outside_labour_force",81
1991,"15-19",8.4,"per thousand females","married","labour_force",0.7
1991,"15-19",8.4,"per thousand females","married","outside_labour_force",0.7
1991,"15-19",8.4,"per thousand females","widowed_divorced","labour_force",0
1991,"15-19",8.4,"per thousand females","widowed_divorced","outside_labour_force",0
2020,"20-24",12.7,"per thousand females","single","labour_force",64.7
2020,"20-24",12.7,"per thousand females","single","outside_labour_force",49
2020,"20-24",12.7,"per thousand females","married","labour_force",3
2020,"20-24",12.7,"per thousand females","married","outside_labour_force",1.5
2020,"20-24",12.7,"per thousand females","widowed_divorced","labour_force",0.1
2020,"20-24",12.7,"per thousand females","widowed_divorced","outside_labour_force",0.1
2019,"20-24",12.7,"per thousand females","single","labour_force",70.2
2019,"20-24",12.7,"per thousand females","single","outside_labour_force",41.3
2019,"20-24",12.7,"per thousand females","married","labour_force",2.6
2019,"20-24",12.7,"per thousand females","married","outside_labour_force",1.8
2019,"20-24",12.7,"per thousand females","widowed_divorced","labour_force",0.3
2019,"20-24",12.7,"per thousand females","widowed_divorced","outside_labour_force",0.1
2018,"20-24",14.4,"per thousand females","single","labour_force",70.4
2018,"20-24",14.4,"per thousand females","single","outside_labour_force",42.9
2018,"20-24",14.4,"per thousand females","married","labour_force",3.3
2018,"20-24",14.4,"per thousand females","married","outside_labour_force",1.6
2018,"20-24",14.4,"per thousand females","widowed_divorced","labour_force",0.2
2018,"20-24",14.4,"per thousand females","widowed_divorced","outside_labour_force",0.1
2017,"20-24",15.1,"per thousand females","single","labour_force",67.9
2017,"20-24",15.1,"per thousand females","single","outside_labour_force",42.7
2017,"20-24",15.1,"per thousand females","married","labour_force",3.7
2017,"20-24",15.1,"per thousand females","married","outside_labour_force",2.2
2017,"20-24",15.1,"per thousand females","widowed_divorced","labour_force",0.3
2017,"20-24",15.1,"per thousand females","widowed_divorced","outside_labour_force",0
2016,"20-24",17,"per thousand females","single","labour_force",73.3
2016,"20-24",17,"per thousand females","single","outside_labour_force",46.1
2016,"20-24",17,"per thousand females","married","labour_force",4.2
2016,"20-24",17,"per thousand females","married","outside_labour_force",1.6
2016,"20-24",17,"per thousand females","widowed_divorced","labour_force",0.3
2016,"20-24",17,"per thousand females","widowed_divorced","outside_labour_force",0
2015,"20-24",18.7,"per thousand females","single","labour_force",77.6
2015,"20-24",18.7,"per thousand females","single","outside_labour_force",40
2015,"20-24",18.7,"per thousand females","married","labour_force",3.7
2015,"20-24",18.7,"per thousand females","married","outside_labour_force",1.4
2015,"20-24",18.7,"per thousand females","widowed_divorced","labour_force",0.3
2015,"20-24",18.7,"per thousand females","widowed_divorced","outside_labour_force",0
2014,"20-24",19.5,"per thousand females","single","labour_force",73.4
2014,"20-24",19.5,"per thousand females","single","outside_labour_force",49.6
2014,"20-24",19.5,"per thousand females","married","labour_force",2.8
2014,"20-24",19.5,"per thousand females","married","outside_labour_force",1.5
2014,"20-24",19.5,"per thousand females","widowed_divorced","labour_force",0.1
2014,"20-24",19.5,"per thousand females","widowed_divorced","outside_labour_force",0.1
2013,"20-24",19.7,"per thousand females","single","labour_force",69
2013,"20-24",19.7,"per thousand females","single","outside_labour_force",46.1
2013,"20-24",19.7,"per thousand females","married","labour_force",3.6
2013,"20-24",19.7,"per thousand females","married","outside_labour_force",2.4
2013,"20-24",19.7,"per thousand females","widowed_divorced","labour_force",0.2
2013,"20-24",19.7,"per thousand females","widowed_divorced","outside_labour_force",0.1
2012,"20-24",22.2,"per thousand females","single","labour_force",76.4
2012,"20-24",22.2,"per thousand females","single","outside_labour_force",45.3
2012,"20-24",22.2,"per thousand females","married","labour_force",3.9
2012,"20-24",22.2,"per thousand females","married","outside_labour_force",2.9
2012,"20-24",22.2,"per thousand females","widowed_divorced","labour_force",0.4
2012,"20-24",22.2,"per thousand females","widowed_divorced","outside_labour_force",0.1
2011,"20-24",22.4,"per thousand females","single","labour_force",73.5
2011,"20-24",22.4,"per thousand females","single","outside_labour_force",44.9
2011,"20-24",22.4,"per thousand females","married","labour_force",5.2
2011,"20-24",22.4,"per thousand females","married","outside_labour_force",2.5
2011,"20-24",22.4,"per thousand females","widowed_divorced","labour_force",0.6
2011,"20-24",22.4,"per thousand females","widowed_divorced","outside_labour_force",0.1
2010,"20-24",23.3,"per thousand females","single","labour_force",69.5
2010,"20-24",23.3,"per thousand females","single","outside_labour_force",36.3
2010,"20-24",23.3,"per thousand females","married","labour_force",4.9
2010,"20-24",23.3,"per thousand females","married","outside_labour_force",3.4
2010,"20-24",23.3,"per thousand females","widowed_divorced","labour_force",0.4
2010,"20-24",23.3,"per thousand females","widowed_divorced","outside_labour_force",0.1
2009,"20-24",25.4,"per thousand females","single","labour_force",61.7
2009,"20-24",25.4,"per thousand females","single","outside_labour_force",38.9
2009,"20-24",25.4,"per thousand females","married","labour_force",5.1
2009,"20-24",25.4,"per thousand females","married","outside_labour_force",2.7
2009,"20-24",25.4,"per thousand females","widowed_divorced","labour_force",0.6
2009,"20-24",25.4,"per thousand females","widowed_divorced","outside_labour_force",0.1
2008,"20-24",29.1,"per thousand females","single","labour_force",64.6
2008,"20-24",29.1,"per thousand females","single","outside_labour_force",32.3
2008,"20-24",29.1,"per thousand females","married","labour_force",6
2008,"20-24",29.1,"per thousand females","married","outside_labour_force",2.8
2008,"20-24",29.1,"per thousand females","widowed_divorced","labour_force",0.7
2008,"20-24",29.1,"per thousand females","widowed_divorced","outside_labour_force",0
2007,"20-24",31.2,"per thousand females","single","labour_force",60
2007,"20-24",31.2,"per thousand females","single","outside_labour_force",31.1
2007,"20-24",31.2,"per thousand females","married","labour_force",6.8
2007,"20-24",31.2,"per thousand females","married","outside_labour_force",4.1
2007,"20-24",31.2,"per thousand females","widowed_divorced","labour_force",0.5
2007,"20-24",31.2,"per thousand females","widowed_divorced","outside_labour_force",0.1
2006,"20-24",30.6,"per thousand females","single","labour_force",65.8
2006,"20-24",30.6,"per thousand females","single","outside_labour_force",26.4
2006,"20-24",30.6,"per thousand females","married","labour_force",5.8
2006,"20-24",30.6,"per thousand females","married","outside_labour_force",4.7
2006,"20-24",30.6,"per thousand females","widowed_divorced","labour_force",0.9
2006,"20-24",30.6,"per thousand females","widowed_divorced","outside_labour_force",0
2004,"20-24",32.2,"per thousand females","single","labour_force",58.9
2004,"20-24",32.2,"per thousand females","single","outside_labour_force",31.9
2004,"20-24",32.2,"per thousand females","married","labour_force",7.7
2004,"20-24",32.2,"per thousand females","married","outside_labour_force",3.9
2004,"20-24",32.2,"per thousand females","widowed_divorced","labour_force",0.5
2004,"20-24",32.2,"per thousand females","widowed_divorced","outside_labour_force",0.1
2003,"20-24",32.4,"per thousand females","single","labour_force",58
2003,"20-24",32.4,"per thousand females","single","outside_labour_force",29.6
2003,"20-24",32.4,"per thousand females","married","labour_force",6.9
2003,"20-24",32.4,"per thousand females","married","outside_labour_force",4.1
2003,"20-24",32.4,"per thousand females","widowed_divorced","labour_force",0.5
2003,"20-24",32.4,"per thousand females","widowed_divorced","outside_labour_force",0.1
2002,"20-24",34.6,"per thousand females","single","labour_force",55.2
2002,"20-24",34.6,"per thousand females","single","outside_labour_force",32.5
2002,"20-24",34.6,"per thousand females","married","labour_force",6.7
2002,"20-24",34.6,"per thousand females","married","outside_labour_force",4.4
2002,"20-24",34.6,"per thousand females","widowed_divorced","labour_force",0.4
2002,"20-24",34.6,"per thousand females","widowed_divorced","outside_labour_force",0
2001,"20-24",35.7,"per thousand females","single","labour_force",57.8
2001,"20-24",35.7,"per thousand females","single","outside_labour_force",26.4
2001,"20-24",35.7,"per thousand females","married","labour_force",8.6
2001,"20-24",35.7,"per thousand females","married","outside_labour_force",4.7
2001,"20-24",35.7,"per thousand females","widowed_divorced","labour_force",0.3
2001,"20-24",35.7,"per thousand females","widowed_divorced","outside_labour_force",0
1999,"20-24",37.3,"per thousand females","single","labour_force",60.9
1999,"20-24",37.3,"per thousand females","single","outside_labour_force",24.5
1999,"20-24",37.3,"per thousand females","married","labour_force",10
1999,"20-24",37.3,"per thousand females","married","outside_labour_force",4.3
1999,"20-24",37.3,"per thousand females","widowed_divorced","labour_force",0.3
1999,"20-24",37.3,"per thousand females","widowed_divorced","outside_labour_force",0
1998,"20-24",39.7,"per thousand females","single","labour_force",59.7
1998,"20-24",39.7,"per thousand females","single","outside_labour_force",27.3
1998,"20-24",39.7,"per thousand females","married","labour_force",8.5
